0,45,12
0,6,22
0,20,19
0,13,11
0,39,10
0,42,32
0,7,6
0,10,18
0,19,37
0,43,6
0,40,17
0,39,31
0,19,33
0,42,22
0,5,15
0,32,26
0,22,14
0,18,26
0,11,10
0,29,11
0,27,27
0,43,21
0,7,34
0,39,12
0,29,10
0,40,23
0,45,44
0,28,41
0,17,9
0,7,19
0,23,10
0,19,11
0,29,22
0,34,45
0,28,15
0,28,27
0,18,22
0,9,43
0,45,15
0,39,20
0,15,34
0,29,22
0,45,40
0,19,25
0,8,19
0,7,25
0,30,22
0,9,18
0,41,25
0,18,36
1,80,34
1,64,21
1,63,20
1,90,39
1,71,42
1,82,42
1,80,28
1,69,13
1,87,36
1,60,8
1,62,14
1,95,15
1,82,43
1,59,29
1,79,43
1,84,38
1,71,40
1,55,12
1,89,22
1,76,12
1,73,32
1,65,34
1,55,21
1,87,16
1,87,11
1,95,24
1,95,37
1,93,17
1,64,28
1,65,39
1,88,5
1,93,25
1,86,6
1,62,28
1,74,20
1,58,20
1,91,10
1,60,36
1,59,39
1,63,13
1,85,40
1,65,21
1,88,43
1,82,18
1,89,17
1,74,30
1,78,33
1,88,33
1,62,20
1,69,9
2,26,56
2,42,90
2,19,92
2,19,55
2,9,95
2,8,69
2,9,57
2,26,59
2,37,70
2,22,86
2,18,89
2,13,91
2,41,85
2,20,85
2,31,67
2,11,61
2,32,77
2,32,81
2,34,58
2,11,58
2,30,76
2,11,70
2,17,67
2,39,83
2,13,82
2,16,72
2,34,70
2,9,83
2,40,61
2,8,89
2,5,60
2,20,65
2,31,86
2,35,68
2,30,58
2,15,79
2,5,79
2,21,84
2,23,82
2,40,86
2,14,67
2,23,68
2,8,92
2,39,58
2,25,58
2,8,92
2,35,87
2,38,65
2,8,87
2,10,66
3,59,93
3,59,70
3,80,62
3,91,70
3,92,93
3,57,94
3,60,81
3,92,91
3,88,75
3,71,68
3,75,70
3,71,80
3,63,74
3,84,75
3,59,55
3,84,94
3,91,61
3,59,89
3,68,87
3,71,63
3,77,59
3,70,78
3,73,65
3,83,89
3,74,94
3,88,55
3,90,74
3,61,63
3,71,62
3,61,90
3,64,72
3,73,93
3,68,76
3,68,95
3,71,87
3,86,71
3,58,60
3,95,82
3,72,57
3,55,76
3,63,95
3,71,65
3,83,90
3,82,90
3,55,62
3,59,64
3,89,57
3,78,92
3,90,64
3,82,63
